City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Humberto De Campos,BR,-2.5983,-43.4611,75.61,91,94,3.11,overcast clouds
80,Chuy,UY,-33.6971,-53.4616,42.78,74,0,6.08,clear sky
81,Pimenta Bueno,BR,-11.6725,-61.1936,71.74,73,89,2.8,overcast clouds
82,Atuona,PF,-9.8,-139.0333,79.56,67,4,9.04,clear sky
83,Kodiak,US,57.79,-152.4072,49.51,76,90,12.66,overcast clouds
84,Boyolangu,ID,-8.1181,111.8935,79.43,82,78,3.78,broken clouds
85,Andros Town,BS,24.7,-77.7667,80.56,76,6,12.19,clear sky
86,Manama,BH,26.2154,50.5832,90.34,52,0,4.61,clear sky
87,Avarua,CK,-21.2078,-159.775,78.85,57,58,8.05,broken clouds
88,Qaanaaq,GL,77.484,-69.3632,29.7,93,99,3.15,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,73.74,88,100,11.61,overcast clouds
90,Jamestown,US,42.097,-79.2353,60.39,54,1,9.22,clear sky
91,Leningradskiy,RU,69.3833,178.4167,40.06,80,23,3.0,few clouds
92,Stepnyak,KZ,52.8339,70.7803,67.77,63,92,7.65,overcast clouds
93,Mandalgovi,MN,45.7625,106.2708,42.64,44,0,17.4,clear sky
94,Lorengau,PG,-2.0226,147.2712,83.1,78,100,9.91,overcast clouds
95,Tazovskiy,RU,67.4667,78.7,36.91,68,100,15.66,overcast clouds
96,Imbituba,BR,-28.24,-48.6703,60.8,67,75,6.91,broken clouds
97,Nikolskoye,RU,59.7035,30.7861,37.4,71,90,2.68,overcast clouds
98,Sao Filipe,CV,14.8961,-24.4956,73.27,80,34,8.72,scattered clouds
99,Lata,PT,40.1629,-8.3327,60.82,82,6,1.66,clear sky
100,Kenai,US,60.5544,-151.2583,61.03,51,90,12.66,overcast clouds
101,Bambous Virieux,MU,-20.3428,57.7575,72.0,94,40,6.91,light rain
102,Porto Novo,BJ,6.4965,2.6036,82.22,79,100,7.23,overcast clouds
103,Navrongo,GH,10.8956,-1.0921,84.54,54,100,9.33,light rain
104,Kavaratti,IN,10.5669,72.642,82.72,78,100,19.66,overcast clouds
105,Cape Town,ZA,-33.9258,18.4232,57.11,94,20,8.66,light rain
106,Jawhar,SO,2.7809,45.5005,73.33,92,29,6.85,scattered clouds
107,Thompson,CA,55.7435,-97.8558,59.16,44,20,9.22,few clouds
108,Peniche,PT,39.3558,-9.3811,64.72,91,4,5.01,clear sky
109,Adrar,MR,20.5022,-10.0711,89.78,28,100,12.15,overcast clouds
110,Flin Flon,CA,54.7682,-101.865,65.93,27,9,4.9,clear sky
111,Yulara,AU,-25.2406,130.9889,57.04,38,90,4.61,overcast clouds
112,Bluff,NZ,-46.6,168.3333,49.8,90,100,21.47,overcast clouds
113,Minnedosa,CA,50.2453,-99.8436,55.96,59,91,8.86,overcast clouds
114,Santa,PH,17.486,120.4348,88.45,63,17,3.4,few clouds
115,Kingisepp,RU,59.3733,28.6134,38.19,66,97,2.66,overcast clouds
116,Airai,TL,-8.9266,125.4092,68.74,62,100,1.86,overcast clouds
117,Turukhansk,RU,65.8167,87.9833,46.36,89,100,24.67,light rain
118,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,100,3.83,overcast clouds
119,Necochea,AR,-38.5473,-58.7368,48.0,69,100,4.0,overcast clouds
120,Dalvik,IS,65.9702,-18.5286,50.0,57,0,17.27,clear sky
121,Avera,US,33.194,-82.5271,71.6,60,1,4.61,clear sky
122,San Juan,AR,-31.5375,-68.5364,65.73,41,100,9.64,overcast clouds
123,Omsukchan,RU,62.5333,155.8,44.56,52,100,7.63,overcast clouds
124,Pevek,RU,69.7008,170.3133,39.79,67,26,4.43,scattered clouds
125,Farmington,US,36.7281,-108.2187,86.68,7,1,12.66,clear sky
126,Tiksi,RU,71.6872,128.8694,35.02,88,100,5.48,overcast clouds
127,Uyuni,BO,-20.4597,-66.825,38.21,22,51,10.65,broken clouds
128,Juneau,US,58.3019,-134.4197,52.21,95,90,1.99,light rain
129,Rivadavia,AR,-33.1905,-68.4608,54.07,48,98,2.06,overcast clouds
130,Hervey Bay,AU,-25.2986,152.8535,68.11,65,45,5.99,scattered clouds
131,Saskylakh,RU,71.9167,114.0833,42.46,71,0,4.32,clear sky
132,Port Elizabeth,ZA,-33.918,25.5701,59.29,67,0,16.11,clear sky
133,Mirpur Mathelo,PK,28.0227,69.5489,85.86,60,0,13.18,clear sky
134,Cabo San Lucas,MX,22.8909,-109.9124,96.1,28,1,13.8,clear sky
135,Mehamn,NO,71.0357,27.8492,42.39,97,100,24.52,overcast clouds
136,Hovd,MN,48.0056,91.6419,50.86,28,3,3.71,clear sky
137,Cherskiy,RU,68.75,161.3,63.36,28,0,4.05,clear sky
138,Fukue,JP,32.6881,128.8419,73.76,56,0,5.75,clear sky
139,Mahebourg,MU,-20.4081,57.7,72.25,94,40,6.91,light rain
140,Dikson,RU,73.5069,80.5464,30.45,98,100,8.32,snow
141,Abasolo,MX,20.45,-101.5167,86.0,28,90,8.05,overcast clouds
142,Tasiilaq,GL,65.6145,-37.6368,37.56,97,93,4.76,overcast clouds
143,Sabha,LY,27.0377,14.4283,82.62,22,0,13.6,clear sky
144,Nalut,LY,30.3333,10.85,77.7,32,9,11.63,clear sky
145,Lagoa,PT,39.05,-27.9833,62.37,87,100,9.75,overcast clouds
146,Lincoln,US,40.8,-96.667,63.84,69,1,4.61,clear sky
147,Saldanha,ZA,-33.0117,17.9442,48.25,88,100,7.63,moderate rain
148,Longyearbyen,SJ,78.2186,15.6401,33.64,80,90,5.75,overcast clouds
149,East London,ZA,-33.0153,27.9116,55.96,66,100,9.26,overcast clouds
150,Baswa,IN,27.15,76.5833,88.83,31,6,3.69,clear sky
151,Petatlan,MX,17.5167,-101.2667,84.76,66,100,3.94,overcast clouds
152,Clyde River,CA,70.4692,-68.5914,24.8,100,90,8.05,light rain
153,Cururupu,BR,-1.8283,-44.8683,75.36,92,7,2.44,clear sky
154,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,74,14.97,broken clouds
155,Mar Del Plata,AR,-38.0023,-57.5575,48.0,75,0,8.05,clear sky
156,Ekhabi,RU,53.5102,142.9671,41.52,66,52,9.19,broken clouds
157,Lodwar,KE,3.1191,35.5973,82.67,47,58,10.51,broken clouds
158,Nouakchott,MR,18.0858,-15.9785,69.73,72,100,17.9,overcast clouds
159,San Cristobal,VE,7.7669,-72.225,80.6,78,40,9.22,scattered clouds
160,Lompoc,US,34.6391,-120.4579,60.01,72,1,14.97,clear sky
161,Sergeyevka,KZ,53.88,67.4158,66.74,77,71,5.68,broken clouds
162,Pangnirtung,CA,66.1451,-65.7125,33.15,98,100,2.19,light snow
163,Saint Anthony,US,45.0205,-93.218,62.82,79,75,3.0,broken clouds
164,Georgetown,MY,5.4112,100.3354,82.99,89,20,3.44,few clouds
165,Castro,BR,-24.7911,-50.0119,56.62,99,100,2.77,overcast clouds
166,Troitskoye,RU,52.9821,84.6757,59.65,59,6,3.6,clear sky
167,Sikonge,TZ,-5.6333,32.7667,64.24,58,34,5.35,scattered clouds
168,Caarapo,BR,-22.6342,-54.8222,61.07,93,100,9.06,overcast clouds
169,Toba,JP,34.4833,136.85,72.32,73,0,5.01,clear sky
170,Mount Gambier,AU,-37.8333,140.7667,46.31,71,100,9.22,overcast clouds
171,Husavik,IS,66.0449,-17.3389,49.91,77,76,8.77,broken clouds
172,Manaus,BR,-3.1019,-60.025,80.6,83,20,2.3,few clouds
173,Ambilobe,MG,-13.2,49.05,68.92,89,5,3.24,clear sky
174,Moanda,GA,-1.5575,13.2178,72.03,96,77,2.91,light rain
175,Soe,ID,-9.8607,124.284,73.49,71,91,2.62,overcast clouds
176,Rurrenabaque,BO,-14.4413,-67.5278,72.7,94,100,2.64,overcast clouds
177,Berdigestyakh,RU,62.0989,126.6992,63.73,27,100,5.59,overcast clouds
178,Ancud,CL,-41.8697,-73.8203,56.23,98,100,13.24,overcast clouds
179,Nantucket,US,41.2835,-70.0995,53.08,97,100,9.4,overcast clouds
180,Huaicheng,CN,23.9051,112.1931,83.07,86,97,2.04,overcast clouds
181,Talnakh,RU,69.4865,88.3972,35.08,99,100,9.71,light rain
182,Kahului,US,20.8947,-156.47,83.46,71,20,12.66,few clouds
183,Canmore,CA,51.0834,-115.3521,70.48,27,99,5.84,overcast clouds
184,Richards Bay,ZA,-28.783,32.0377,62.22,70,100,2.35,overcast clouds
