City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Diffa,NE,2021-05-26 23:55:45,13.3154,12.6113,84.69,8,4,8.43
68,Babati,TZ,2021-05-26 23:55:45,-4.2167,35.75,54.61,95,25,1.43
69,Lorengau,PG,2021-05-26 23:55:45,-2.0226,147.2712,81.09,85,96,11.45
70,Vao,NC,2021-05-26 23:55:45,-22.6667,167.4833,71.76,71,8,10.45
71,Khatanga,RU,2021-05-26 23:55:46,71.9667,102.5,25.75,92,45,11.12
72,Galle,LK,2021-05-26 23:51:24,6.0367,80.217,80.94,83,98,22.75
73,East London,ZA,2021-05-26 23:55:46,-33.0153,27.9116,63.5,85,96,7.05
74,Hasaki,JP,2021-05-26 23:55:46,35.7333,140.8333,66.29,86,100,14.7
75,Tres Palos,MX,2021-05-26 23:55:47,18.1833,-101.6167,86.59,35,100,6.15
76,Kapaa,US,2021-05-26 23:51:30,22.0752,-159.319,82.72,68,1,5.01
77,Korla,CN,2021-05-26 23:55:47,41.7597,86.1469,76.66,14,98,2.06
78,Kruisfontein,ZA,2021-05-26 23:55:47,-34.0033,24.7314,54.19,77,100,4.27
79,San Patricio,US,2021-05-26 23:55:48,28.017,-97.5169,84.92,77,42,13.85
80,Necochea,AR,2021-05-26 23:52:28,-38.5473,-58.7368,54.52,70,98,11.81
81,Rivadavia,AR,2021-05-26 23:55:48,-33.1905,-68.4608,57.67,41,2,4.43
82,Trofors,NO,2021-05-26 23:55:49,65.5333,13.4063,45.75,81,84,4.41
83,Chuy,UY,2021-05-26 23:55:49,-33.6971,-53.4616,54.21,80,61,10.33
84,Dunedin,NZ,2021-05-26 23:52:45,-45.8742,170.5036,50.81,31,52,7.0
85,Adrar,MR,2021-05-26 23:55:49,20.5022,-10.0711,89.69,20,0,7.63
86,Havre-Saint-Pierre,CA,2021-05-26 23:55:49,50.2334,-63.5986,54.19,93,90,8.05
87,Avarua,CK,2021-05-26 23:55:50,-21.2078,-159.775,82.45,83,40,6.91
88,Jamestown,US,2021-05-26 23:55:19,42.097,-79.2353,67.01,78,40,3.0
89,Tautira,PF,2021-05-26 23:51:08,-17.7333,-149.15,82.42,75,18,6.96
90,Mehamn,NO,2021-05-26 23:52:20,71.0357,27.8492,38.43,73,54,9.4
91,Pitkyaranta,RU,2021-05-26 23:55:50,61.5734,31.4792,40.28,98,79,3.18
92,Najran,SA,2021-05-26 23:55:51,17.4924,44.1277,77.65,17,2,1.59
93,Deputatskiy,RU,2021-05-26 23:55:51,69.3,139.9,47.43,64,100,16.84
94,Midland,US,2021-05-26 23:54:42,31.9974,-102.0779,90.48,37,1,17.27
95,Axim,GH,2021-05-26 23:55:51,4.8699,-2.2405,80.15,86,46,9.04
96,Ulaanbaatar,MN,2021-05-26 23:55:52,47.9077,106.8832,41.13,75,75,14.85
97,Puerto Escondido,MX,2021-05-26 23:55:52,15.85,-97.0667,84.94,64,69,2.95
98,Ejura,GH,2021-05-26 23:55:52,7.3856,-1.3562,75.4,89,89,6.46
99,Mahebourg,MU,2021-05-26 23:55:53,-20.4081,57.7,71.26,100,40,2.3
100,Oistins,BB,2021-05-26 23:55:53,13.0667,-59.5333,80.69,69,40,16.11
101,Paamiut,GL,2021-05-26 23:55:53,61.994,-49.6678,37.11,91,95,6.49
102,Port Lincoln,AU,2021-05-26 23:55:53,-34.7333,135.8667,59.22,69,32,4.5
103,Saint-Philippe,RE,2021-05-26 23:55:54,-21.3585,55.7679,69.39,82,32,1.45
104,San Vicente,AR,2021-05-26 23:55:54,-26.6167,-54.1333,54.95,66,60,1.07
105,Mosquera,CO,2021-05-26 23:55:54,4.7059,-74.2302,60.89,63,75,8.05
106,Ponta Do Sol,PT,2021-05-26 23:55:55,32.6667,-17.1,67.01,77,96,4.94
107,Upernavik,GL,2021-05-26 23:55:55,72.7868,-56.1549,32.4,92,100,11.99
108,San Cristobal,VE,2021-05-26 23:55:55,7.7669,-72.225,77.18,73,87,3.53
109,Hualmay,PE,2021-05-26 23:55:55,-11.0964,-77.6139,66.58,86,12,6.55
110,Zharkent,KZ,2021-05-26 23:55:56,44.1628,80.0,69.03,42,17,3.02
111,Quatre Cocos,MU,2021-05-26 23:55:56,-20.2078,57.7625,71.1,89,15,5.75
112,Chokurdakh,RU,2021-05-26 23:52:29,70.6333,147.9167,41.99,72,66,9.86
